iter	Passed	Remaining
661	726	370
662	727	369
663	728	368
664	729	367
665	730	366
666	731	365
667	732	363
668	733	362
669	734	361
670	735	360
671	736	359
672	737	358
673	738	357
674	739	356
675	740	354
676	741	353
677	742	352
678	743	351
679	744	350
680	745	349
681	746	347
682	747	346
683	747	345
684	748	344
685	749	343
686	751	342
687	752	341
688	753	340
689	754	339
690	755	337
691	756	336
692	757	335
693	758	334
694	759	333
695	760	332
696	761	331
697	762	330
698	763	328
699	764	327
700	765	326
701	766	325
702	767	324
703	768	323
704	769	322
705	770	320
706	771	319
707	772	318
708	774	317
709	775	316
710	776	315
711	776	314
712	777	313
713	778	311
714	779	310
715	780	309
716	781	308
717	783	307
718	784	306
719	785	305
720	786	304
721	787	303
722	788	302
723	789	300
724	790	299
725	791	298
726	792	297
727	793	296
728	794	295
729	794	294
730	795	292
731	796	291
732	798	290
733	799	289
734	800	288
735	801	287
736	802	286
737	803	285
738	804	284
739	805	282
740	806	281
741	807	280
742	808	279
743	809	278
744	810	277
745	810	276
746	811	274
747	813	273
748	814	272
749	815	271
750	816	270
751	817	269
752	818	268
753	819	267
754	820	266
755	821	265
756	822	264
757	824	263
758	825	262
759	826	260
760	827	259
761	828	258
762	830	257
763	831	256
764	832	255
765	833	254
766	834	253
767	835	252
768	836	251
769	837	250
770	838	249
771	839	248
772	840	246
773	841	245
774	843	244
775	845	243
776	846	242
777	847	241
778	848	240
779	849	239
780	850	238
781	851	237
782	852	236
783	853	235
784	854	234
785	855	233
786	857	232
787	858	231
788	860	230
789	861	228
790	862	227
791	863	226
792	864	225
793	865	224
794	866	223
795	867	222
796	868	221
797	869	220
798	870	219
799	871	217
800	873	217
801	875	216
802	876	215
803	877	213
804	878	212
805	879	211
806	880	210
807	881	209
808	882	208
809	883	207
810	884	206
811	885	205
812	886	203
813	888	202
814	889	201
815	890	200
816	892	199
817	893	198
818	894	197
819	895	196
820	896	195
821	897	194
822	898	193
823	899	192
824	900	190
825	901	189
826	903	188
827	904	187
828	905	186
829	907	185
830	907	184
831	908	183
832	910	182
833	911	181
834	912	180
835	913	179
836	913	177
837	914	176
838	915	175
839	917	174
840	919	173
841	920	172
842	922	171
843	923	170
844	924	169
845	925	168
846	926	167
847	927	166
848	928	165
849	929	164
850	930	162
851	932	161
852	934	160
853	935	159
854	936	158
855	937	157
856	938	156
857	939	155
858	940	154
859	941	153
860	942	152
861	943	151
862	944	149
863	945	148
864	948	147
865	949	146
866	950	145
867	951	144
868	952	143
869	953	142
870	954	141
871	956	140
872	956	139
873	957	138
874	958	136
875	959	135
876	961	134
877	963	133
878	964	132
879	965	131
880	967	130
881	968	129
882	969	128
883	970	127
884	971	126
885	972	125
886	973	123
887	974	122
888	975	121
889	977	120
890	979	119
891	980	118
892	981	117
893	982	116
894	983	115
895	984	114
896	985	113
897	986	112
898	987	110
899	988	109
900	989	108
901	999	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	102
907	1005	101
908	1006	100
909	1007	99
910	1009	98
911	1010	97
912	1011	96
913	1012	95
914	1013	94
915	1014	93
916	1016	91
917	1017	90
918	1017	89
919	1018	88
920	1019	87
921	1021	86
922	1022	85
923	1024	84
924	1025	83
925	1026	82
926	1027	80
927	1028	79
928	1030	78
929	1031	77
930	1032	76
931	1033	75
932	1034	74
933	1035	73
934	1037	72
935	1039	71
936	1040	69
937	1041	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1047	63
943	1048	62
944	1049	61
945	1050	59
946	1052	58
947	1054	57
948	1055	56
949	1056	55
950	1057	54
951	1058	53
952	1059	52
953	1061	51
954	1062	50
955	1063	48
956	1063	47
957	1065	46
958	1066	45
959	1068	44
960	1070	43
961	1071	42
962	1072	41
963	1073	40
964	1074	38
965	1075	37
966	1076	36
967	1077	35
968	1078	34
969	1079	33
970	1080	32
971	1082	31
972	1083	30
973	1085	28
974	1086	27
975	1087	26
976	1088	25
977	1089	24
978	1090	23
979	1091	22
980	1092	21
981	1093	20
982	1094	18
983	1096	17
984	1098	16
985	1099	15
986	1100	14
987	1101	13
988	1102	12
989	1103	11
990	1104	10
991	1105	8
992	1106	7
993	1107	6
994	1108	5
995	1109	4
996	1110	3
997	1112	2
998	1113	1
999	1114	0
